12775.711,-74.4034,42.9651
12776.321,-76.8613,30.5799
12777.017,-79.2341,13.7417
12777.367,-81.4704,-4.8627
12778.171,-83.5917,-22.7883
12780.361,-85.5949,-37.5329
12781.858,-87.4958,-47.1030
12784.763,-89.2534,-49.9715
12785.467,-90.8848,-45.8646
12785.910,-92.4026,-35.2195
12839.874,-93.7739,-19.7348
12841.230,-95.0128,-1.4954
12842.068,-96.1281,17.1330
12842.715,-97.0956,33.1782
12843.645,-97.9260,44.5920
12845.146,-98.6181,49.7813
12848.296,-99.1759,47.9678
12849.727,-99.5872,39.4409
12852.220,-99.8580,25.4085
12855.634,-99.9882,7.6399
12897.421,-99.9753,-11.0299
12897.966,-99.8211,-28.1600
12898.799,-99.5222,-41.4666
12901.610,-99.0851,-48.8268
12903.129,-98.5080,-49.3711
12905.928,-97.7838,-42.9258
12906.769,-96.9281,-30.5191
12907.284,-95.9355,-13.8523
12907.740,-94.8075,4.7482
12908.007,-93.5319,22.8566
12955.824,-92.1365,37.5836
12956.167,-90.6110,47.0643
12956.830,-88.9399,49.9689
12957.304,-87.1595,45.8340
12957.696,-85.2560,35.3011
12958.270,-83.2108,19.6643
12958.913,-81.0682,1.4187
12959.391,-78.8110,-17.0249
12960.752,-76.4426,-33.0920
12961.052,-73.9404,-44.6267
13018.001,-71.3585,-49.7884
13018.270,-68.6758,-48.0001
13018.536,-65.8673,-39.3937
13018.822,-62.9936,-25.3424
13019.058,-60.0310,-7.7535
13076.504,-56.9521,11.1047
13078.097,-53.8234,28.2233
13082.210,-50.6187,41.4023
13085.422,-47.3087,48.8432
13087.273,-43.9650,49.3590
13088.403,-40.5592,42.9847
13088.884,-37.0961,30.6102
13089.610,-33.5445,13.7786
13089.986,-29.9812,-4.8245
13090.272,-26.3755,-22.7542
13090.547,-22.6952,-37.6341
13090.914,-19.0198,-47.0901
13091.351,-15.3176,-49.9728
13091.770,-11.5557,-45.8032
13092.111,-7.8153,-35.2467
13092.416,-4.0639,-19.7701
13135.767,-0.3068,-1.5337
13135.952,3.4891,17.0970
13136.756,7.2417,33.1495
13137.296,10.9841,44.5747
13137.782,14.7489,49.7954
13138.305,18.4548,47.9786
13138.988,22.1346,39.4645
13139.432,25.8202,25.2763
13139.986,29.4319,7.6778
13197.648,33.0020,-10.9925
13199.419,36.5613,-28.2866
13200.372,40.0327,-41.4452
13200.665,43.4476,-48.8185
13200.929,46.8011,-49.3772
13255.723,50.1217,-42.9455
13255.949,53.3377,-30.5495
13256.733,56.4783,-13.8891
13257.365,59.5699,4.9009
13257.846,62.5458,22.8224
13258.249,65.4334,37.5583
13258.886,68.2565,47.1158
13259.443,70.9543,49.9702
13261.336,73.5519,45.8493
13261.692,76.0456,35.3282
13262.122,78.4557,19.6996
13264.221,80.7300,1.4571
13266.314,82.8904,-16.9888
13267.160,84.9539,-33.2069
13268.452,86.8761,-44.6094
13268.655,88.6755,-49.7848
13318.451,90.3661,-47.9569
13318.777,91.9114,-39.4173
13319.085,93.3269,-25.3755
13319.449,94.6105,-7.7914
13320.218,95.7716,11.0673
13320.684,96.7850,28.1916
13321.117,97.6618,41.3807
13321.548,98.4074,48.8350
13321.989,99.0058,49.3651
13375.817,99.4644,43.0043
13375.965,99.7851,30.4888
13376.966,99.9608,13.8155
13377.114,99.9954,-4.7863
13378.007,99.8870,-22.8907
13380.417,99.6378,-37.6088
13381.602,99.2480,-47.0772
13384.052,98.7179,-49.9741
13384.337,98.0409,-45.8186
13384.545,97.2316,-35.2739
13435.810,96.2850,-19.8053
13435.963,95.1906,-1.3804
13436.675,93.9722,17.0610
13437.077,92.6210,33.1208
13437.918,91.1233,44.6440
13497.670,89.5113,49.7919
13500.624,87.7729,47.9894
13501.257,85.8909,39.3701
13501.635,83.9060,25.3093
13502.015,81.8026,7.7156
13502.301,79.5837,-10.9551
13502.584,77.2280,-28.2550
13502.806,74.7865,-41.4237
13503.072,72.2393,-48.8102
13503.387,69.5626,-49.3528
13503.579,66.8142,-42.9651
13503.789,63.9714,-30.5799
13503.919,61.0079,-13.7417
13504.114,57.9877,4.8627
13504.231,54.8856,22.7883
13504.415,51.6732,37.6593
13555.925,48.4198,47.1030
13556.164,45.0981,49.9715
13556.538,41.7127,45.8646
13557.384,38.2329,35.2195
13557.927,34.7340,19.7348
13558.390,31.1860,1.4954
13559.268,27.5572,-17.1330
13559.965,23.9258,-33.1782
13560.492,20.2607,-44.5920
13618.790,16.5291,-49.7988
13619.188,12.8118,-47.9678
13619.718,9.0763,-39.4409
13620.165,5.3281,-25.4085
13620.549,1.5339,-7.6399
13620.971,-2.2241,11.0299
13621.378,-5.9790,28.1600
13621.655,-9.7635,41.4666
13621.998,-13.4961,48.8268
13676.007,-17.2095,49.3711
13676.680,-20.9362,42.9258
13677.204,-24.5955,30.5191
13677.712,-28.2201,13.8523
13678.165,-31.8048,-4.7482
13678.510,-35.3805,-22.8566
13679.294,-38.8698,-37.5836
13683.256,-42.3043,-47.0643
13684.687,-45.7131,-49.9689
13685.860,-49.0226,-45.8340
13686.643,-52.2629,-35.3011
13687.150,-55.4613,-19.6643
